date,base,target,rate
2025-07-16 00:02:31+00:00,USD,USD,1.0
2025-07-16 00:02:31+00:00,USD,AED,3.6725
2025-07-16 00:02:31+00:00,USD,AFN,69.632677
2025-07-16 00:02:31+00:00,USD,ALL,83.858389
2025-07-16 00:02:31+00:00,USD,AMD,384.040328
2025-07-16 00:02:31+00:00,USD,ANG,1.79
2025-07-16 00:02:31+00:00,USD,AOA,920.3398
2025-07-16 00:02:31+00:00,USD,ARS,1277.0
2025-07-16 00:02:31+00:00,USD,AUD,1.531234
2025-07-16 00:02:31+00:00,USD,AWG,1.79
2025-07-16 00:02:31+00:00,USD,AZN,1.701372
2025-07-16 00:02:31+00:00,USD,BAM,1.682355
2025-07-16 00:02:31+00:00,USD,BBD,2.0
2025-07-16 00:02:31+00:00,USD,BDT,121.460925
2025-07-16 00:02:31+00:00,USD,BGN,1.681741
2025-07-16 00:02:31+00:00,USD,BHD,0.376
2025-07-16 00:02:31+00:00,USD,BIF,2968.607219
2025-07-16 00:02:31+00:00,USD,BMD,1.0
2025-07-16 00:02:31+00:00,USD,BND,1.28409
2025-07-16 00:02:31+00:00,USD,BOB,6.937475
2025-07-16 00:02:31+00:00,USD,BRL,5.583613
2025-07-16 00:02:31+00:00,USD,BSD,1.0
2025-07-16 00:02:31+00:00,USD,BTN,85.938209
2025-07-16 00:02:31+00:00,USD,BWP,13.707402
2025-07-16 00:02:31+00:00,USD,BYN,3.138293
2025-07-16 00:02:31+00:00,USD,BZD,2.0
2025-07-16 00:02:31+00:00,USD,CAD,1.370961
2025-07-16 00:02:31+00:00,USD,CDF,2885.23043
2025-07-16 00:02:31+00:00,USD,CHF,0.800583
2025-07-16 00:02:31+00:00,USD,CLP,967.585022
2025-07-16 00:02:31+00:00,USD,CNY,7.179229
2025-07-16 00:02:31+00:00,USD,COP,4014.059736
2025-07-16 00:02:31+00:00,USD,CRC,505.16625
2025-07-16 00:02:31+00:00,USD,CUP,24.0
2025-07-16 00:02:31+00:00,USD,CVE,94.847163
2025-07-16 00:02:31+00:00,USD,CZK,21.219516
2025-07-16 00:02:31+00:00,USD,DJF,177.721
2025-07-16 00:02:31+00:00,USD,DKK,6.422609
2025-07-16 00:02:31+00:00,USD,DOP,60.367838
2025-07-16 00:02:31+00:00,USD,DZD,130.071484
2025-07-16 00:02:31+00:00,USD,EGP,49.421791
2025-07-16 00:02:31+00:00,USD,ERN,15.0
2025-07-16 00:02:31+00:00,USD,ETB,136.312266
2025-07-16 00:02:31+00:00,USD,EUR,0.860162
2025-07-16 00:02:31+00:00,USD,FJD,2.250738
2025-07-16 00:02:31+00:00,USD,FKP,0.746047
2025-07-16 00:02:31+00:00,USD,FOK,6.422893
2025-07-16 00:02:31+00:00,USD,GBP,0.746047
2025-07-16 00:02:31+00:00,USD,GEL,2.712924
2025-07-16 00:02:31+00:00,USD,GGP,0.746047
2025-07-16 00:02:31+00:00,USD,GHS,10.856404
2025-07-16 00:02:31+00:00,USD,GIP,0.746047
2025-07-16 00:02:31+00:00,USD,GMD,72.778778
2025-07-16 00:02:31+00:00,USD,GNF,8695.093848
2025-07-16 00:02:31+00:00,USD,GTQ,7.68611
2025-07-16 00:02:31+00:00,USD,GYD,209.183745
2025-07-16 00:02:31+00:00,USD,HKD,7.849745
2025-07-16 00:02:31+00:00,USD,HNL,26.202009
2025-07-16 00:02:31+00:00,USD,HRK,6.480986
2025-07-16 00:02:31+00:00,USD,HTG,131.098717
2025-07-16 00:02:31+00:00,USD,HUF,344.063237
2025-07-16 00:02:31+00:00,USD,IDR,16277.691722
2025-07-16 00:02:31+00:00,USD,ILS,3.358202
2025-07-16 00:02:31+00:00,USD,IMP,0.746047
2025-07-16 00:02:31+00:00,USD,INR,85.938385
2025-07-16 00:02:31+00:00,USD,IQD,1309.877525
2025-07-16 00:02:31+00:00,USD,IRR,42440.051077
2025-07-16 00:02:31+00:00,USD,ISK,122.012757
2025-07-16 00:02:31+00:00,USD,JEP,0.746047
2025-07-16 00:02:31+00:00,USD,JMD,160.241818
2025-07-16 00:02:31+00:00,USD,JOD,0.709
2025-07-16 00:02:31+00:00,USD,JPY,148.499115
2025-07-16 00:02:31+00:00,USD,KES,129.296376
