date,base,target,rate
2025-07-15 00:02:31+00:00,USD,USD,1.0
2025-07-15 00:02:31+00:00,USD,AED,3.6725
2025-07-15 00:02:31+00:00,USD,AFN,68.489193
2025-07-15 00:02:31+00:00,USD,ALL,83.698051
2025-07-15 00:02:31+00:00,USD,AMD,384.058512
2025-07-15 00:02:31+00:00,USD,ANG,1.79
2025-07-15 00:02:31+00:00,USD,AOA,919.343937
2025-07-15 00:02:31+00:00,USD,ARS,1266.17
2025-07-15 00:02:31+00:00,USD,AUD,1.526268
2025-07-15 00:02:31+00:00,USD,AWG,1.79
2025-07-15 00:02:31+00:00,USD,AZN,1.700047
2025-07-15 00:02:31+00:00,USD,BAM,1.67542
2025-07-15 00:02:31+00:00,USD,BBD,2.0
2025-07-15 00:02:31+00:00,USD,BDT,121.035894
2025-07-15 00:02:31+00:00,USD,BGN,1.675167
2025-07-15 00:02:31+00:00,USD,BHD,0.376
2025-07-15 00:02:31+00:00,USD,BIF,2968.782381
2025-07-15 00:02:31+00:00,USD,BMD,1.0
2025-07-15 00:02:31+00:00,USD,BND,1.281974
2025-07-15 00:02:31+00:00,USD,BOB,6.922596
2025-07-15 00:02:31+00:00,USD,BRL,5.564121
2025-07-15 00:02:31+00:00,USD,BSD,1.0
2025-07-15 00:02:31+00:00,USD,BTN,86.019354
2025-07-15 00:02:31+00:00,USD,BWP,13.439705
2025-07-15 00:02:31+00:00,USD,BYN,3.131613
2025-07-15 00:02:31+00:00,USD,BZD,2.0
2025-07-15 00:02:31+00:00,USD,CAD,1.369653
2025-07-15 00:02:31+00:00,USD,CDF,2887.790721
2025-07-15 00:02:31+00:00,USD,CHF,0.797378
2025-07-15 00:02:31+00:00,USD,CLP,955.63197
2025-07-15 00:02:31+00:00,USD,CNY,7.172544
2025-07-15 00:02:31+00:00,USD,COP,4008.356278
2025-07-15 00:02:31+00:00,USD,CRC,504.511292
2025-07-15 00:02:31+00:00,USD,CUP,24.0
2025-07-15 00:02:31+00:00,USD,CVE,94.456178
2025-07-15 00:02:31+00:00,USD,CZK,21.136769
2025-07-15 00:02:31+00:00,USD,DJF,177.721
2025-07-15 00:02:31+00:00,USD,DKK,6.393499
2025-07-15 00:02:31+00:00,USD,DOP,60.214699
2025-07-15 00:02:31+00:00,USD,DZD,129.860779
2025-07-15 00:02:31+00:00,USD,EGP,49.463418
2025-07-15 00:02:31+00:00,USD,ERN,15.0
2025-07-15 00:02:31+00:00,USD,ETB,136.290439
2025-07-15 00:02:31+00:00,USD,EUR,0.856616
2025-07-15 00:02:31+00:00,USD,FJD,2.247109
2025-07-15 00:02:31+00:00,USD,FKP,0.743516
2025-07-15 00:02:31+00:00,USD,FOK,6.393614
2025-07-15 00:02:31+00:00,USD,GBP,0.743532
2025-07-15 00:02:31+00:00,USD,GEL,2.714637
